id,类别
11551,一般价值房源
13913,重要发展房源
38407,重要保持房源
90700,重要价值房源
15400,重要价值房源
92399,重要价值房源
17402,一般价值房源
92644,重要价值房源
93015,一般价值房源
93263,一般价值房源
38605,重要价值房源
38610,重要价值房源
39387,一般发展房源
93500,重要保持房源
25023,重要价值房源
93779,重要挽留房源
93783,重要发展房源
25123,重要价值房源
41311,重要价值房源
33332,重要发展房源
94138,重要价值房源
34825,重要价值房源
41445,一般发展房源
36299,重要价值房源
41509,重要价值房源
41712,重要价值房源
96052,重要价值房源
36660,重要价值房源
97178,重要价值房源
41870,一般挽留房源
36986,重要价值房源
42001,重要价值房源
97506,重要价值房源
37384,重要价值房源
97583,重要价值房源
97974,一般保持房源
42010,重要价值房源
207784,一般挽留房源
43129,重要价值房源
98271,重要挽留房源
207912,重要保持房源
43202,重要价值房源
44144,重要价值房源
44237,一般挽留房源
98541,一般价值房源
210010,重要发展房源
98750,重要价值房源
213024,重要发展房源
98776,重要价值房源
45163,重要挽留房源
214755,重要发展房源
45168,重要价值房源
99241,重要保持房源
214995,重要价值房源
216350,重要价值房源
99333,一般价值房源
219665,重要价值房源
100326,重要价值房源
100479,重要挽留房源
46992,重要价值房源
227078,一般价值房源
47192,重要价值房源
47369,一般价值房源
49970,重要价值房源
101083,一般价值房源
102391,一般保持房源
227502,一般价值房源
102565,重要价值房源
51578,重要挽留房源
228195,重要价值房源
51830,重要价值房源
52151,一般发展房源
52940,重要价值房源
103682,重要价值房源
229684,一般挽留房源
53242,重要挽留房源
230427,重要价值房源
53245,重要挽留房源
106332,重要保持房源
230839,重要挽留房源
107048,重要价值房源
55133,重要保持房源
231692,重要价值房源
55402,重要挽留房源
55706,重要价值房源
107051,重要价值房源
231854,重要价值房源
232240,重要保持房源
108529,重要价值房源
108562,一般挽留房源
232983,重要价值房源
59656,重要价值房源
109226,一般挽留房源
234776,重要价值房源
235994,一般价值房源
109299,一般挽留房源
111255,重要发展房源
116268,重要发展房源
62218,重要价值房源
62747,一般价值房源
236716,重要价值房源
62970,一般价值房源
63864,一般发展房源
117203,重要价值房源
236956,重要价值房源
64429,重要价值房源
237907,重要价值房源
64942,重要挽留房源
118805,重要价值房源
238349,重要价值房源
123522,重要挽留房源
127652,重要价值房源
65638,重要价值房源
66772,重要价值房源
238440,一般挽留房源
67025,重要价值房源
128581,重要发展房源
238711,重要价值房源
129768,一般发展房源
239697,重要价值房源
131444,重要价值房源
67851,重要保持房源
239955,重要挽留房源
67934,一般价值房源
137581,重要价值房源
240734,重要挽留房源
137907,重要价值房源
69198,重要发展房源
241133,重要挽留房源
71875,重要价值房源
138800,重要价值房源
139142,重要价值房源
241621,一般保持房源
140518,重要价值房源
72059,重要价值房源
241975,重要挽留房源
72913,重要价值房源
142117,重要价值房源
143028,一般挽留房源
242090,重要价值房源
143478,重要价值房源
73431,重要价值房源
243077,重要发展房源
74107,一般保持房源
143568,一般价值房源
243093,重要挽留房源
145612,重要价值房源
147244,一般价值房源
74954,重要价值房源
244112,重要价值房源
75120,重要价值房源
147802,一般挽留房源
244125,一般价值房源
150900,重要价值房源
244126,一般价值房源
76440,重要价值房源
245116,一般发展房源
152863,重要挽留房源
154221,重要挽留房源
76932,一般价值房源
78606,重要发展房源
246271,一般保持房源
78892,重要价值房源
156966,重要价值房源
246619,一般挽留房源
157227,重要价值房源
79129,重要价值房源
248291,一般价值房源
157536,重要价值房源
249238,一般发展房源
79488,重要发展房源
79571,一般挽留房源
249395,重要挽留房源
157714,重要价值房源
249423,一般价值房源
158939,重要价值房源
159736,一般价值房源
80123,重要价值房源
250012,重要价值房源
159787,重要保持房源
250293,一般价值房源
163086,一般保持房源
165336,重要价值房源
80441,重要价值房源
81052,重要挽留房源
81080,重要发展房源
250995,一般价值房源
166760,重要发展房源
251026,一般价值房源
81211,重要发展房源
81410,重要价值房源
168348,重要价值房源
168359,重要发展房源
254031,重要价值房源
170702,重要价值房源
172629,重要价值房源
81449,重要价值房源
254629,重要发展房源
81470,重要价值房源
172807,重要挽留房源
254996,重要价值房源
81473,重要价值房源
255961,一般价值房源
81635,重要价值房源
82272,重要保持房源
174132,重要价值房源
174635,一般价值房源
256975,重要价值房源
175892,一般价值房源
83027,一般挽留房源
83308,一般保持房源
178519,一般挽留房源
179312,重要挽留房源
180449,重要价值房源
257413,重要挽留房源
181763,一般挽留房源
182802,重要价值房源
183019,重要价值房源
84223,重要价值房源
258184,一般挽留房源
84532,重要价值房源
84640,重要发展房源
85111,重要价值房源
85191,重要价值房源
183128,重要价值房源
183336,重要价值房源
186682,重要价值房源
188214,重要挽留房源
85406,重要价值房源
86084,重要保持房源
260288,重要价值房源
86092,重要价值房源
189002,一般挽留房源
262294,重要价值房源
190015,一般挽留房源
87514,重要价值房源
263672,一般价值房源
88032,重要价值房源
190028,重要发展房源
263822,一般价值房源
193794,重要价值房源
89787,重要挽留房源
